,rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
0,15,102. 망원역 1번출구 앞,16,107,37.55564880,126.91062927,ST-4
1,14,103. 망원역 2번출구 앞,5,36,37.55495071,126.91083527,ST-5
2,13,104. 합정역 1번출구 앞,5,38,37.55073929,126.91508484,ST-6
3,5,105. 합정역 5번출구 앞,1,20,37.55000687,126.91482544,ST-7
4,12,106. 합정역 7번출구 앞,1,8,37.54864502,126.91282654,ST-8
5,10,107. 수협 연남동지점,9,90,37.55784607,126.91871643,ST-9
6,12,108. 서교동 사거리,7,58,37.55274582,126.91861725,ST-10
7,10,111. 상수역 2번출구 앞,1,10,37.54787064,126.92353058,ST-15
8,25,113. 홍대입구역 2번출구 앞,38,152,37.55743790,126.92382050,ST-18
9,15,114. 홍대입구역 8번출구 앞,6,40,37.55706024,126.92442322,ST-20
10,15,115. 마스타 빌딩 앞,2,13,37.55893326,126.92711639,ST-12
11,23,117. 홍은사거리,15,65,37.59115982,126.94132996,ST-17
12,9,118. 광흥창역 2번출구 앞,7,78,37.54773331,126.93176270,ST-19
13,10,119. 서강나루 공원,15,150,37.54520798,126.93146515,ST-21
14,5,120. 신수동 사거리,11,220,37.54524231,126.93411255,ST-22
15,15,121. 마포소방서 앞,5,33,37.54976654,126.93317413,ST-23
16,10,122. 신성기사식당 앞,16,160,37.54745865,126.93837738,ST-24
17,20,123. 문화촌 공원,15,75,37.59432983,126.94738770,ST-25
18,35,124. 서강대 정문 건너편,5,14,37.55113983,126.93698883,ST-26
19,20,126. 서강대 후문 옆,6,30,37.55041122,126.94384766,ST-28
20,9,127. 현대벤처빌 앞,4,44,37.55352020,126.93695068,ST-29
21,19,128. 신촌역(2호선) 1번출구 옆,1,5,37.55549622,126.93634033,ST-30
22,10,129. 신촌역(2호선) 6번출구 옆,0,0,37.55505371,126.93756866,ST-31
23,10,130. 신촌역(2호선) 7번출구 앞,14,140,37.55504990,126.93626404,ST-32
24,20,131. 증산2교,54,270,37.58417130,126.91110229,ST-33
25,15,133. 해담는다리,21,140,37.58203125,126.90899658,ST-35
26,8,134. 연세로 명물길,11,138,37.55789185,126.93807983,ST-36
27,10,135. 명물길 원형무대 앞,4,40,37.55922699,126.93984222,ST-37
28,10,137. 신촌기차역입구 교차로,0,0,37.55681229,126.94318390,ST-39
29,10,138. 신촌동 제1공영주차장 앞,7,70,37.55917740,126.93452454,ST-40
30,10,139. 연세대 정문 건너편,4,40,37.55986404,126.93441772,ST-43
31,22,140. 이화여대 후문,4,18,37.56000900,126.94073486,ST-41
32,10,141. 연대 대운동장 옆,10,100,37.56238174,126.93264771,ST-42
33,11,142. 아현역 4번출구 앞,1,9,37.55720139,126.95566559,ST-200
34,8,143. 공덕역 2번출구,15,188,37.54464722,126.95008850,ST-201
35,9,145. 공덕역 5번출구,17,189,37.54425049,126.95163727,ST-203
36,12,146. 마포역 2번출구 뒤,19,158,37.53993607,126.94582367,ST-204
37,7,147. 마포역 4번출구 뒤,28,400,37.53927231,126.94591522,ST-205
38,11,148. 용강동 주민센터 앞,17,155,37.54234695,126.94302368,ST-206
39,15,150. 서강대역 2번출구 앞,2,13,37.55295563,126.93434143,ST-207
40,10,153. 성산2교 사거리,18,180,37.56469727,126.91261292,ST-210
41,12,154. 마포구청역 ,22,183,37.56090927,126.90549469,ST-211
42,15,155. 가좌역1 번출구 앞,8,53,37.56829453,126.91504669,ST-212
43,10,156. 서울서부지방법원 앞,10,100,37.54933167,126.95491791,ST-213
44,12,157. 애오개역 4번출구 앞,25,208,37.55300140,126.95668793,ST-214
45,5,159. 이대역 4번 출구,0,0,37.55695343,126.94634247,ST-216
46,13,160. 북아현동 가구거리,3,23,37.55754852,126.95938110,ST-217
47,8,161. 무악재역1번 출구,0,0,37.58224487,126.95064545,ST-218
48,15,162. 봉원고가차도 밑,1,7,37.56626129,126.94667053,ST-219
49,6,163. 명지전문대학교 정문 앞,16,267,37.58369827,126.92496490,ST-220
50,10,164. 북가좌1동 주민센터 ,7,70,37.57447815,126.91004944,ST-221
51,20,165. 중앙근린공원,9,45,37.57513809,126.91394043,ST-222
52,20,166. 가재울 초등학교,54,270,37.57381821,126.91923523,ST-223
53,15,167. 연가초등학교 옆,4,27,37.57946014,126.91712952,ST-224
54,10,169. 북가좌 삼거리,15,150,37.57300186,126.90779877,ST-226
55,10,170. DMC파크뷰자이아파트 302동 앞,15,150,37.57311249,126.92244720,ST-227
56,10,171. 임광빌딩 앞,14,140,37.56472397,126.96727753,ST-228
57,8,173. 서대문역 8번출구 앞,22,275,37.56477737,126.96614838,ST-230
58,15,175. 홍연2교옆,6,40,37.57806778,126.93088531,ST-231
59,10,176. 명지대학교 도서관,19,190,37.58109665,126.92402649,ST-555
60,8,177. 북가좌 초등학교,16,200,37.57763672,126.90965271,ST-345
61,9,178. 증산3교 앞,12,133,37.57987595,126.90634918,ST-349
62,14,179. 가좌역 4번출구 앞,13,93,37.56877518,126.91529846,ST-232
63,10,180. 충정로역 7번출구 아래,9,90,37.55996704,126.96246338,ST-233
64,15,181. 망원초록길 입구,2,13,37.55134201,126.90267181,ST-339
65,9,182. 망원2빗물펌프장 앞,0,0,37.55136490,126.90306091,ST-340
66,15,183. 하늘채코오롱아파트 건너편,27,180,37.56538773,126.91932678,ST-341
67,8,184. 7번가피자 서교망원점,12,150,37.55894852,126.90775299,ST-342
68,15,185. 마포 신수공원 앞,9,60,37.54254532,126.93429565,ST-343
69,40,186. 월드컵공원,51,128,37.56396484,126.89820862,ST-344
70,9,188. 홍은동 정원여중 입구,14,156,37.58638763,126.93512726,ST-346
71,10,191. 서우빌딩,13,130,37.57889175,126.91073608,ST-347
72,8,192. 연서어린이공원,14,175,37.57222748,126.92306519,ST-348
73,10,194. 증산교 앞,18,180,37.57731628,126.90296936,ST-350
74,10,195. 모래내고가차도 ,0,0,37.56765747,126.91780853,ST-351
75,10,196. 연희교차로 인근,1,10,37.56612015,126.92589569,ST-352
76,10,198. 충정2교,2,20,37.56390762,126.96497345,ST-354
77,30,199. 서울 월드컵 경기장,74,247,37.56684494,126.89644623,ST-443
78,22,200. 국회의원회관,3,14,37.52841568,126.91391754,ST-45
79,15,201. 진미파라곤 앞,14,93,37.53123856,126.92133331,ST-46
80,30,202. 국민일보 앞,50,167,37.52881622,126.92453003,ST-47
81,15,203. 국회의사당역 3번출구 옆,6,40,37.52805710,126.91870117,ST-51
82,13,204. 국회의사당역 5번출구 옆,3,23,37.52816391,126.91702271,ST-50
83,20,205. 산업은행 앞,24,120,37.52626419,126.92050934,ST-52
84,35,206. KBS 앞,18,51,37.52466583,126.91802216,ST-53
85,46,207. 여의나루역 1번출구 앞,1,2,37.52715683,126.93190002,ST-73
86,22,209. 유진투자증권빌딩 앞,38,173,37.52461243,126.92783356,ST-55
87,19,213. KT앞,8,42,37.52190781,126.91895294,ST-59
88,21,214. 금융감독원 앞,34,162,37.52302170,126.92083740,ST-60
89,10,215. 여의도고교 앞,4,40,37.52483749,126.93490601,ST-64
90,15,217. NH농협은행 앞,45,300,37.52207947,126.93036652,ST-66
91,12,219. 롯데캐슬엠파이어 옆,6,50,37.52069473,126.92583466,ST-62
92,30,220. 미성아파트 A동 앞,11,37,37.51936340,126.92604828,ST-63
93,10,221. 여의도초교 앞,3,30,37.52267456,126.93778992,ST-67
94,12,222. 시범아파트버스정류장 옆,1,8,37.51902008,126.93688965,ST-68
95,20,223. 진주아파트상가 앞,5,25,37.51913071,126.93337250,ST-69
96,20,224. 롯데캐슬 앞,6,30,37.52008820,126.93236542,ST-70
97,26,225. 앙카라공원 앞,0,0,37.51758575,126.92961884,ST-71
98,19,226. 샛강역 1번출구 앞,2,11,37.51776505,126.92841339,ST-72
99,20,227. 양평1나들목 보행통로 입구,18,90,37.54466629,126.88835907,ST-277
100,10,228. 선유도역 3번출구 앞,14,140,37.53845978,126.89450836,ST-278
101,25,229. 양평1 보행육교 앞,21,84,37.53587341,126.89218140,ST-279
102,13,230. 영등포구청역 1번출구,4,31,37.52463531,126.89621735,ST-413
103,10,231. 남부고용노동지청 남측,24,240,37.52450562,126.89182281,ST-280
104,20,232. 양평우림 이비즈센타 앞,9,45,37.52565002,126.88781738,ST-281
105,10,233. 양평1동 YP센터 앞,24,240,37.52848816,126.89164734,ST-282
106,10,235. 신길동 우리은행 옆,12,120,37.50456619,126.91023254,ST-284
107,10,236. 문래동자이아파트 앞,15,150,37.51615524,126.89461517,ST-285
108,20,237. 보라매 두산위브 건너편,51,255,37.49651337,126.91480255,ST-286
109,17,238. 제2구민체육센타 앞,3,18,37.52638626,126.90275574,ST-287
110,19,239. 유스호스텔 앞,10,53,37.52585220,126.90328217,ST-288
111,10,240. 문래역 4번출구 앞,8,80,37.51873779,126.89557648,ST-289
112,10,241. 신길우성1차아파트 앞 공원,10,100,37.50501633,126.89853668,ST-290
113,15,242. 신길선원가와인아파트 앞,11,73,37.51093292,126.91022491,ST-291
114,15,243. 이앤씨드림타워 앞,19,127,37.52708435,126.89138031,ST-292
115,20,244. 영등포삼환아파트 앞,4,20,37.53007889,126.90570831,ST-293
116,14,245. 삼성생명 당산사옥 앞,14,100,37.52826309,126.89662933,ST-294
117,14,247. 당산역 10번출구 앞,15,107,37.53342056,126.90223694,ST-295
118,10,248. 초원아파트 앞,4,40,37.53105545,126.92420959,ST-296
119,16,249. 여의도중학교 옆,1,6,37.52457809,126.93580627,ST-297
120,10,250. 대림아파트 사거리,3,30,37.50764084,126.92308044,ST-298
121,10,251. 서울지방병무청 버스정류장,0,0,37.50449371,126.92195129,ST-299
122,10,252. 보라매역4번출구,31,310,37.49982834,126.91994476,ST-300
123,10,254. 도림신협 앞,40,400,37.50380325,126.90341949,ST-302
124,15,255. 도림사거리,19,127,37.50657272,126.90113068,ST-303
125,10,256. 동아에코빌입구,1,10,37.50947571,126.89929962,ST-304
126,14,258. 신길역3번출구,2,14,37.51769257,126.91429901,ST-306
127,17,259. 대방역6번출구,1,6,37.51359177,126.92593384,ST-307
128,15,260. 여의도 마리나선착장 앞,5,33,37.53365707,126.91216278,ST-414
129,12,263. 근로자회관 사거리,38,317,37.51715088,126.88862610,ST-417
130,15,264. 교보생명보험 앞,7,47,37.52193069,126.89161682,ST-418
131,11,265. 영등포유통상가 사거리,11,100,37.52113342,126.89653778,ST-419
132,10,266. 영등포청과시장 사거리,14,140,37.52029419,126.90119171,ST-420
133,15,267. 삼성화재 사옥 옆,3,20,37.53596115,126.89830017,ST-421
134,6,268. 그랜드컨벤션센터 앞,3,50,37.53471756,126.90000153,ST-422
135,10,270. 증권거래소후문교차로,16,160,37.52234268,126.92710114,ST-424
136,10,271. 샛강생태공원방문자센터 앞,13,130,37.51896286,126.92161560,ST-425
137,20,272. 당산육갑문,27,135,37.53533936,126.90367889,ST-426
138,10,275. 신동아아파트,15,150,37.52269745,126.88568115,ST-1320
139,10,276. 영등포로터리2,0,0,37.51828384,126.91263580,ST-1321
140,10,278. 쌍용플레티넘오피스텔,13,130,37.50793076,126.89523315,ST-1323
141,15,279. 영등포 푸르지오 아파트 B,15,100,37.51322937,126.90446472,ST-1353
142,10,280. 양평동6차현대아파트 앞,5,50,37.53210068,126.89443970,ST-1539
143,8,281. 대림신동아아파트 앞,3,38,37.49824142,126.89398193,ST-1540
144,10,282. 신한은행 대림동지점,23,230,37.48752975,126.90487671,ST-1541
145,15,283. 아크로타워 스퀘어(영등포시장),21,140,37.52251816,126.90721893,ST-1649
146,16,284. 센트럴 푸르지오 시티 앞,24,150,37.51821136,126.90222931,ST-1650
147,9,285. 콤텍시스템 앞,13,144,37.49985886,126.89723969,ST-1651
148,12,286. 우성아파트 교차로,17,142,37.49457169,126.89974976,ST-1652
149,10,287. 영등포전화국사거리 (서강어린이공원),7,70,37.52576828,126.90573883,ST-1653
150,10,288. 쌍용예가(구청별관),3,30,37.52809906,126.89338684,ST-1677
151,10,289. 대림3동사거리,19,190,37.49980927,126.89800262,ST-1697
